geo_point_2d;Numéro ID inspection;Nom de l'installation;Commune;Code Département;Code Postal;Code NAF;SIRET;Code Régime;Libellé Régime;Directive IPPC;Code Seveso;Statut Seveso;Code Famille;Libellé Famille;Fiche URL du site;Précision des coordonnées;Code INSEE;EPCI;Département;Région
48.1230055494,3.30661290569;54.139;PSV;VERON;89;89510;52.10B;42149908800019;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=54&champEtablNumero=1390;Coordonnées précises;89443;CA du Grand Sénonais;YONNE;BOURGOGNE-FRANCHE-COMTE
48.1825872202,2.24709233609;100.1299;ORGAPHARM;PITHIVIERS;45;45300;21.10Z;47971904900021;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=1299;Coordonnées précises;45252;CC du Pithiverais;LOIRET;CENTRE-VAL DE LOIRE
47.4189566962,-0.619694743234;63.1363;CIM-CCMP de Bouchemaine;BOUCHEMAINE;49;49080;52.10B;57645046400077;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=63&champEtablNumero=1363;Coordonnées précises;49035;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
49.4187671654,1.02800556021;58.607;BOREALIS CHIMIE;LE GRAND QUEVILLY;76;76121;20.15Z;67080242000794;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=607;Adresse postale;76322;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
45.7462149264,6.42528466894;61.4505;UGITECH;UGINE;73;73400;24.10Z;41043615800027;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=4505;Coordonnées précises;73303;CA Arlysère;SAVOIE;AUVERGNE-RHONE-ALPES
46.7975199748,1.63538917349;100.2251;AXEREAL;ST MAUR;36;36250;46.21Z;77556564100054;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=2251;Coordonnées précises;36202;CA Châteauroux Métropole;INDRE;CENTRE-VAL DE LOIRE
44.769326432,-0.76757195206;52.1183;PENA ENVIRONNEMENT;ST JEAN D ILLAC;33;33127;38.32Z;38014135800024;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=1183;Coordonnées précises;33422;CC Jalle-Eau-Bourde;GIRONDE;NOUVELLE-AQUITAINE
46.1525857418,1.8710082989;60.278;PICOTY;GUERET;23;23000;;;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=60&champEtablNumero=278;Centroïde Commune;23096;CA du Grand Guéret;CREUSE;NOUVELLE-AQUITAINE
49.139804803,-0.155088611671;53.526;SOLICENDRE;ARGENCES;14;14370;38.22Z;39018980100017;A;Autorisation;Soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=53&champEtablNumero=526;Coordonnées précises;14020;CC Val Ès Dunes;CALVADOS;NORMANDIE
43.3792354272,5.04883528561;64.11266;INEOS CHEMICALS LAVERA LPP (ICL - LPP);MARTIGUES;13;13117;;49070280000015;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=11266;Centroïde Commune;13056;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
44.8726296319,-0.681415748158;52.812;SAFRAN HERAKLES SAS;LE HAILLAN;33;33185;30.30Z;692023278000;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=52&champEtablNumero=812;Centroïde Commune;33200;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
43.6373158662,1.42657721944;68.2424;SOCIETE TRAITEMENTS CHIMIQUES DES METAUX;TOULOUSE;31;31200;24.43Z;64080189000040;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2424;Coordonnées précises;31555;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
